IT,EMBARCACIÃ“N,PORCENTAJE,SEMANA
1,BARCO 1,0.0,1
2,BARCO 2,0.0,1
3,BARCO 3,0.0,1
4,BARCO 4,0.0,1
5,BARCO 5,0.0,1
6,BARCO 6,0.0,1
7,BARCO 7,0.0,1
8,BARCO 8,0.0,1
9,BARCO 9,0.0,1
10,BARCO 10,0.0,1
11,BARCO 11,0.0,1
12,BARCO 12,0.0,1
13,BARCO 13,0.0,1
14,BARCO 14,0.0,1
15,BARCO 15,0.0,1
16,BARCO 16,0.0,1
17,BARCO 17,0.0,1
18,BARCO 18,0.0,1
19,BARCO 19,0.0,1
20,BARCO 20,0.0,1
21,BARCO 21,0.0,1
22,BARCO 22,0.0,1
23,BARCO 23,0.05,1
24,BARCO 24,0.0,1
25,BARCO 25,0.0,1
26,BARCO 26,0.05,1
27,BARCO 27,0.0,1
28,BARCO 28,0.0,1
29,BARCO 29,0.0,1
30,BARCO 30,0.0,1
1,BARCO 1,0.0,2
2,BARCO 2,0.0,2
3,BARCO 3,0.0,2
4,BARCO 4,0.0,2
5,BARCO 5,0.0,2
6,BARCO 6,0.0,2
7,BARCO 7,0.0,2
8,BARCO 8,0.0,2
9,BARCO 9,0.0,2
10,BARCO 10,0.0,2
11,BARCO 11,0.0,2
12,BARCO 12,0.0,2
13,BARCO 13,0.0,2
14,BARCO 14,0.0,2
15,BARCO 15,0.0,2
16,BARCO 16,0.0,2
17,BARCO 17,0.0,2
18,BARCO 18,0.0,2
19,BARCO 19,0.0,2
20,BARCO 20,0.0,2
21,BARCO 21,0.0,2
22,BARCO 22,0.0,2
23,BARCO 23,0.05,2
24,BARCO 24,0.0,2
25,BARCO 25,0.0,2
26,BARCO 26,0.05,2
27,BARCO 27,0.0,2
28,BARCO 28,0.0,2
29,BARCO 29,0.0,2
30,BARCO 30,0.0,2
1,BARCO 1,0.25,3
2,BARCO 2,0.05,3
3,BARCO 3,0.05,3
4,BARCO 4,0.05,3
5,BARCO 5,0.05,3
6,BARCO 6,0.0,3
7,BARCO 7,0.05,3
8,BARCO 8,0.0,3
9,BARCO 9,0.1,3
10,BARCO 10,0.05,3
11,BARCO 11,0.25,3
12,BARCO 12,0.0,3
13,BARCO 13,0.0,3
14,BARCO 14,0.25,3
15,BARCO 15,0.0,3
16,BARCO 16,0.0,3
17,BARCO 17,0.125,3
18,BARCO 18,0.0,3
19,BARCO 19,0.05,3
20,BARCO 20,0.05,3
21,BARCO 21,0.0,3
22,BARCO 22,0.0,3
23,BARCO 23,0.05,3
24,BARCO 24,0.0,3
25,BARCO 25,0.25,3
26,BARCO 26,0.05,3
27,BARCO 27,0.0,3
28,BARCO 28,0.0,3
29,BARCO 29,0.0,3
30,BARCO 30,0.05,3
1,BARCO 1,0.25,4
2,BARCO 2,0.05,4
3,BARCO 3,0.05,4
4,BARCO 4,0.1,4
5,BARCO 5,0.1,4
6,BARCO 6,0.0,4
7,BARCO 7,0.1,4
8,BARCO 8,0.0,4
9,BARCO 9,0.1,4
10,BARCO 10,0.1,4
11,BARCO 11,0.25,4
12,BARCO 12,0.0,4
13,BARCO 13,0.0,4
14,BARCO 14,0.25,4
15,BARCO 15,0.0,4
16,BARCO 16,0.0,4
17,BARCO 17,0.125,4
18,BARCO 18,0.0,4
19,BARCO 19,0.05,4
20,BARCO 20,0.05,4
21,BARCO 21,0.0,4
22,BARCO 22,0.0,4
23,BARCO 23,0.05,4
24,BARCO 24,0.0,4
25,BARCO 25,0.25,4
26,BARCO 26,0.05,4
27,BARCO 27,0.0,4
28,BARCO 28,0.0,4
29,BARCO 29,0.0,4
30,BARCO 30,0.05,4
1,BARCO 1,0.25,5
2,BARCO 2,0.05,5
3,BARCO 3,0.1,5
4,BARCO 4,0.1,5
5,BARCO 5,0.1,5
6,BARCO 6,0.0,5
7,BARCO 7,0.1,5
8,BARCO 8,0.0,5
9,BARCO 9,0.1,5
10,BARCO 10,0.1,5
11,BARCO 11,0.25,5
12,BARCO 12,0.0,5
13,BARCO 13,0.0,5
14,BARCO 14,0.25,5
15,BARCO 15,0.0,5
16,BARCO 16,0.0,5
17,BARCO 17,0.125,5
18,BARCO 18,0.0,5
19,BARCO 19,0.05,5
20,BARCO 20,0.05,5
21,BARCO 21,0.0,5
22,BARCO 22,0.0,5
23,BARCO 23,0.1,5
24,BARCO 24,0.0,5
25,BARCO 25,0.25,5
26,BARCO 26,0.1,5
27,BARCO 27,0.0,5
28,BARCO 28,0.0,5
29,BARCO 29,0.0,5
30,BARCO 30,0.05,5
1,BARCO 1,0.25,6
2,BARCO 2,0.125,6
3,BARCO 3,0.25,6
4,BARCO 4,0.15,6
5,BARCO 5,0.15,6
6,BARCO 6,0.0,6
7,BARCO 7,0.15,6
8,BARCO 8,0.0,6
9,BARCO 9,0.1,6
10,BARCO 10,0.15,6
11,BARCO 11,0.25,6
12,BARCO 12,0.0,6
13,BARCO 13,0.0,6
14,BARCO 14,0.25,6
15,BARCO 15,0.0,6
16,BARCO 16,0.0,6
17,BARCO 17,0.125,6
18,BARCO 18,0.0,6
19,BARCO 19,0.15,6
20,BARCO 20,0.15,6
21,BARCO 21,0.0,6
22,BARCO 22,0.0,6
23,BARCO 23,0.15,6
24,BARCO 24,0.0,6
25,BARCO 25,0.25,6
26,BARCO 26,0.1,6
27,BARCO 27,0.0,6
28,BARCO 28,0.0,6
29,BARCO 29,0.0,6
30,BARCO 30,0.15,6
1,BARCO 1,0.0,7
2,BARCO 2,0.225,7
3,BARCO 3,0.3,7
4,BARCO 4,0.2,7
5,BARCO 5,0.2,7
6,BARCO 6,0.0,7
7,BARCO 7,0.2,7
8,BARCO 8,0.0,7
9,BARCO 9,0.15,7
10,BARCO 10,0.2,7
11,BARCO 11,0.0,7
12,BARCO 12,0.0,7
13,BARCO 13,0.15,7
14,BARCO 14,0.0,7
15,BARCO 15,0.0,7
16,BARCO 16,0.0,7
17,BARCO 17,0.125,7
18,BARCO 18,0.25,7
19,BARCO 19,0.25,7
20,BARCO 20,0.25,7
21,BARCO 21,0.0,7
22,BARCO 22,0.0,7
23,BARCO 23,0.2,7
24,BARCO 24,0.0,7
25,BARCO 25,0.0,7
26,BARCO 26,0.2,7
27,BARCO 27,0.0,7
28,BARCO 28,0.0,7
29,BARCO 29,0.0,7
30,BARCO 30,0.25,7
1,BARCO 1,0.0,8
2,BARCO 2,0.225,8
3,BARCO 3,0.25,8
4,BARCO 4,0.2,8
5,BARCO 5,0.2,8
6,BARCO 6,0.0,8
7,BARCO 7,0.2,8
8,BARCO 8,0.0,8
9,BARCO 9,0.15,8
10,BARCO 10,0.2,8
11,BARCO 11,0.0,8
12,BARCO 12,0.0,8
13,BARCO 13,0.25,8
14,BARCO 14,0.0,8
15,BARCO 15,0.0,8
16,BARCO 16,0.0,8
17,BARCO 17,0.125,8
18,BARCO 18,0.35,8
19,BARCO 19,0.25,8
20,BARCO 20,0.25,8
21,BARCO 21,0.0,8
22,BARCO 22,0.0,8
23,BARCO 23,0.2,8
24,BARCO 24,0.0,8
25,BARCO 25,0.0,8
26,BARCO 26,0.2,8
27,BARCO 27,0.0,8
28,BARCO 28,0.0,8
29,BARCO 29,0.0,8
30,BARCO 30,0.25,8
1,BARCO 1,0.0,9
2,BARCO 2,0.225,9
3,BARCO 3,0.0,9
4,BARCO 4,0.15,9
5,BARCO 5,0.15,9
6,BARCO 6,0.35,9
7,BARCO 7,0.15,9
8,BARCO 8,0.35,9
9,BARCO 9,0.1,9
10,BARCO 10,0.15,9
11,BARCO 11,0.0,9
12,BARCO 12,0.0,9
13,BARCO 13,0.35,9
14,BARCO 14,0.0,9
15,BARCO 15,0.0,9
16,BARCO 16,0.0,9
17,BARCO 17,0.125,9
18,BARCO 18,0.35,9
19,BARCO 19,0.15,9
20,BARCO 20,0.15,9
21,BARCO 21,0.0,9
22,BARCO 22,0.0,9
23,BARCO 23,0.1,9
24,BARCO 24,0.0,9
25,BARCO 25,0.0,9
26,BARCO 26,0.15,9
27,BARCO 27,0.0,9
28,BARCO 28,0.0,9
29,BARCO 29,0.0,9
30,BARCO 30,0.15,9
1,BARCO 1,0.0,10
2,BARCO 2,0.05,10
3,BARCO 3,0.0,10
4,BARCO 4,0.05,10
5,BARCO 5,0.05,10
6,BARCO 6,0.45,10
7,BARCO 7,0.05,10
8,BARCO 8,0.45,10
9,BARCO 9,0.1,10
10,BARCO 10,0.05,10
11,BARCO 11,0.0,10
12,BARCO 12,0.2,10
13,BARCO 13,0.1,10
14,BARCO 14,0.0,10
15,BARCO 15,0.2,10
16,BARCO 16,0.2,10
17,BARCO 17,0.125,10
18,BARCO 18,0.05,10
19,BARCO 19,0.05,10
20,BARCO 20,0.05,10
21,BARCO 21,0.2,10
22,BARCO 22,0.0,10
23,BARCO 23,0.05,10
24,BARCO 24,0.2,10
25,BARCO 25,0.0,10
26,BARCO 26,0.05,10
27,BARCO 27,0.0,10
28,BARCO 28,0.0,10
29,BARCO 29,0.2,10
30,BARCO 30,0.05,10
1,BARCO 1,0.0,11
2,BARCO 2,0.0,11
3,BARCO 3,0.0,11
4,BARCO 4,0.0,11
5,BARCO 5,0.0,11
6,BARCO 6,0.15,11
7,BARCO 7,0.0,11
8,BARCO 8,0.15,11
9,BARCO 9,0.05,11
10,BARCO 10,0.0,11
11,BARCO 11,0.0,11
12,BARCO 12,0.3,11
13,BARCO 13,0.1,11
14,BARCO 14,0.0,11
15,BARCO 15,0.3,11
16,BARCO 16,0.3,11
17,BARCO 17,0.0,11
18,BARCO 18,0.0,11
19,BARCO 19,0.0,11
20,BARCO 20,0.0,11
21,BARCO 21,0.3,11
22,BARCO 22,0.0,11
23,BARCO 23,0.0,11
24,BARCO 24,0.3,11
25,BARCO 25,0.0,11
26,BARCO 26,0.0,11
27,BARCO 27,0.0,11
28,BARCO 28,0.0,11
29,BARCO 29,0.3,11
30,BARCO 30,0.0,11
1,BARCO 1,0.0,12
2,BARCO 2,0.0,12
3,BARCO 3,0.0,12
4,BARCO 4,0.0,12
5,BARCO 5,0.0,12
6,BARCO 6,0.05,12
7,BARCO 7,0.0,12
8,BARCO 8,0.05,12
9,BARCO 9,0.05,12
10,BARCO 10,0.0,12
11,BARCO 11,0.0,12
12,BARCO 12,0.5,12
13,BARCO 13,0.05,12
14,BARCO 14,0.0,12
15,BARCO 15,0.5,12
16,BARCO 16,0.5,12
17,BARCO 17,0.0,12
18,BARCO 18,0.0,12
19,BARCO 19,0.0,12
20,BARCO 20,0.0,12
21,BARCO 21,0.5,12
22,BARCO 22,0.0,12
23,BARCO 23,0.0,12
24,BARCO 24,0.5,12
25,BARCO 25,0.0,12
26,BARCO 26,0.0,12
27,BARCO 27,0.0,12
28,BARCO 28,0.0,12
29,BARCO 29,0.5,12
30,BARCO 30,0.0,12
